176, -1.5, -2.0, -1
177, -1.5, -2.0, -0.5
178, -1.5, -2.0, 0.0
179, -1.5, -2.0, 0.5
180, -1.5, -2.0, 1.0
181, -1.5, -2.0, 1.5
182, -1.5, -2.0, 2.0
183, -1.5, -2.0, 2.5
184, -1.5, -1.5, -1
185, -1.5, -1.5, -0.5
186, -1.5, -1.5, 0.0
187, -1.5, -1.5, 0.5
188, -1.5, -1.5, 1.0
189, -1.5, -1.5, 1.5
190, -1.5, -1.5, 2.0
191, -1.5, -1.5, 2.5
192, -1.0, -4, -1
193, -1.0, -4, -0.5
194, -1.0, -4, 0.0
195, -1.0, -4, 0.5
196, -1.0, -4, 1.0
197, -1.0, -4, 1.5
198, -1.0, -4, 2.0
199, -1.0, -4, 2.5
200, -1.0, -3.5, -1
201, -1.0, -3.5, -0.5
202, -1.0, -3.5, 0.0
203, -1.0, -3.5, 0.5
204, -1.0, -3.5, 1.0
205, -1.0, -3.5, 1.5
206, -1.0, -3.5, 2.0
207, -1.0, -3.5, 2.5
208, -1.0, -3.0, -1
209, -1.0, -3.0, -0.5
210, -1.0, -3.0, 0.0
211, -1.0, -3.0, 0.5
212, -1.0, -3.0, 1.0
213, -1.0, -3.0, 1.5
214, -1.0, -3.0, 2.0
215, -1.0, -3.0, 2.5
216, -1.0, -2.5, -1
217, -1.0, -2.5, -0.5
218, -1.0, -2.5, 0.0
219, -1.0, -2.5, 0.5
220, -1.0, -2.5, 1.0
221, -1.0, -2.5, 1.5
222, -1.0, -2.5, 2.0
223, -1.0, -2.5, 2.5
224, -1.0, -2.0, -1
225, -1.0, -2.0, -0.5
226, -1.0, -2.0, 0.0
227, -1.0, -2.0, 0.5
228, -1.0, -2.0, 1.0
229, -1.0, -2.0, 1.5
230, -1.0, -2.0, 2.0
231, -1.0, -2.0, 2.5
232, -1.0, -1.5, -1
233, -1.0, -1.5, -0.5
234, -1.0, -1.5, 0.0
235, -1.0, -1.5, 0.5
236, -1.0, -1.5, 1.0
237, -1.0, -1.5, 1.5
238, -1.0, -1.5, 2.0
239, -1.0, -1.5, 2.5
240, -0.5, -4, -1
241, -0.5, -4, -0.5
242, -0.5, -4, 0.0
243, -0.5, -4, 0.5
244, -0.5, -4, 1.0
245, -0.5, -4, 1.5
246, -0.5, -4, 2.0
247, -0.5, -4, 2.5
248, -0.5, -3.5, -1
249, -0.5, -3.5, -0.5
250, -0.5, -3.5, 0.0
251, -0.5, -3.5, 0.5
252, -0.5, -3.5, 1.0
253, -0.5, -3.5, 1.5
254, -0.5, -3.5, 2.0
255, -0.5, -3.5, 2.5
256, -0.5, -3.0, -1
257, -0.5, -3.0, -0.5
258, -0.5, -3.0, 0.0
259, -0.5, -3.0, 0.5
260, -0.5, -3.0, 1.0
261, -0.5, -3.0, 1.5
262, -0.5, -3.0, 2.0
263, -0.5, -3.0, 2.5
264, -0.5, -2.5, -1
265, -0.5, -2.5, -0.5
266, -0.5, -2.5, 0.0
267, -0.5, -2.5, 0.5
268, -0.5, -2.5, 1.0
269, -0.5, -2.5, 1.5
270, -0.5, -2.5, 2.0
271, -0.5, -2.5, 2.5
272, -0.5, -2.0, -1
273, -0.5, -2.0, -0.5
274, -0.5, -2.0, 0.0
275, -0.5, -2.0, 0.5
276, -0.5, -2.0, 1.0
277, -0.5, -2.0, 1.5
278, -0.5, -2.0, 2.0
279, -0.5, -2.0, 2.5
280, -0.5, -1.5, -1
281, -0.5, -1.5, -0.5
282, -0.5, -1.5, 0.0
283, -0.5, -1.5, 0.5
284, -0.5, -1.5, 1.0
285, -0.5, -1.5, 1.5
286, -0.5, -1.5, 2.0
287, -0.5, -1.5, 2.5
288, 0.0, -4, -1
289, 0.0, -4, -0.5
290, 0.0, -4, 0.0
291, 0.0, -4, 0.5
292, 0.0, -4, 1.0
293, 0.0, -4, 1.5
294, 0.0, -4, 2.0
295, 0.0, -4, 2.5
296, 0.0, -3.5, -1
297, 0.0, -3.5, -0.5
298, 0.0, -3.5, 0.0
299, 0.0, -3.5, 0.5
300, 0.0, -3.5, 1.0
301, 0.0, -3.5, 1.5
302, 0.0, -3.5, 2.0
303, 0.0, -3.5, 2.5
304, 0.0, -3.0, -1
305, 0.0, -3.0, -0.5
306, 0.0, -3.0, 0.0
307, 0.0, -3.0, 0.5
308, 0.0, -3.0, 1.0
309, 0.0, -3.0, 1.5
310, 0.0, -3.0, 2.0
311, 0.0, -3.0, 2.5
312, 0.0, -2.5, -1
313, 0.0, -2.5, -0.5
314, 0.0, -2.5, 0.0
315, 0.0, -2.5, 0.5
316, 0.0, -2.5, 1.0
317, 0.0, -2.5, 1.5
318, 0.0, -2.5, 2.0
319, 0.0, -2.5, 2.5
320, 0.0, -2.0, -1
321, 0.0, -2.0, -0.5
322, 0.0, -2.0, 0.0
323, 0.0, -2.0, 0.5
324, 0.0, -2.0, 1.0
325, 0.0, -2.0, 1.5
326, 0.0, -2.0, 2.0
327, 0.0, -2.0, 2.5
328, 0.0, -1.5, -1
329, 0.0, -1.5, -0.5
330, 0.0, -1.5, 0.0
331, 0.0, -1.5, 0.5
332, 0.0, -1.5, 1.0
333, 0.0, -1.5, 1.5
334, 0.0, -1.5, 2.0
335, 0.0, -1.5, 2.5
336, 0.5, -4, -1
337, 0.5, -4, -0.5
338, 0.5, -4, 0.0
339, 0.5, -4, 0.5
340, 0.5, -4, 1.0
341, 0.5, -4, 1.5
342, 0.5, -4, 2.0
343, 0.5, -4, 2.5
344, 0.5, -3.5, -1
345, 0.5, -3.5, -0.5
346, 0.5, -3.5, 0.0
347, 0.5, -3.5, 0.5
348, 0.5, -3.5, 1.0
349, 0.5, -3.5, 1.5
350, 0.5, -3.5, 2.0
351, 0.5, -3.5, 2.5
352, 0.5, -3.0, -1
353, 0.5, -3.0, -0.5
354, 0.5, -3.0, 0.0
355, 0.5, -3.0, 0.5
356, 0.5, -3.0, 1.0
357, 0.5, -3.0, 1.5
358, 0.5, -3.0, 2.0
359, 0.5, -3.0, 2.5
360, 0.5, -2.5, -1
361, 0.5, -2.5, -0.5
362, 0.5, -2.5, 0.0
363, 0.5, -2.5, 0.5
364, 0.5, -2.5, 1.0
365, 0.5, -2.5, 1.5
366, 0.5, -2.5, 2.0
367, 0.5, -2.5, 2.5
368, 0.5, -2.0, -1
369, 0.5, -2.0, -0.5
370, 0.5, -2.0, 0.0
371, 0.5, -2.0, 0.5
372, 0.5, -2.0, 1.0
373, 0.5, -2.0, 1.5
374, 0.5, -2.0, 2.0
375, 0.5, -2.0, 2.5
376, 0.5, -1.5, -1
377, 0.5, -1.5, -0.5
378, 0.5, -1.5, 0.0
379, 0.5, -1.5, 0.5
380, 0.5, -1.5, 1.0
381, 0.5, -1.5, 1.5
382, 0.5, -1.5, 2.0
383, 0.5, -1.5, 2.5
384, 1.0, -4, -1
385, 1.0, -4, -0.5
386, 1.0, -4, 0.0
387, 1.0, -4, 0.5
388, 1.0, -4, 1.0
389, 1.0, -4, 1.5
390, 1.0, -4, 2.0
391, 1.0, -4, 2.5
392, 1.0, -3.5, -1
393, 1.0, -3.5, -0.5
394, 1.0, -3.5, 0.0
395, 1.0, -3.5, 0.5
396, 1.0, -3.5, 1.0
397, 1.0, -3.5, 1.5
398, 1.0, -3.5, 2.0
399, 1.0, -3.5, 2.5
400, 1.0, -3.0, -1
401, 1.0, -3.0, -0.5
402, 1.0, -3.0, 0.0
403, 1.0, -3.0, 0.5
404, 1.0, -3.0, 1.0
405, 1.0, -3.0, 1.5
406, 1.0, -3.0, 2.0
407, 1.0, -3.0, 2.5
408, 1.0, -2.5, -1
409, 1.0, -2.5, -0.5
410, 1.0, -2.5, 0.0
411, 1.0, -2.5, 0.5
412, 1.0, -2.5, 1.0
413, 1.0, -2.5, 1.5
414, 1.0, -2.5, 2.0
415, 1.0, -2.5, 2.5
416, 1.0, -2.0, -1
417, 1.0, -2.0, -0.5
418, 1.0, -2.0, 0.0
419, 1.0, -2.0, 0.5
420, 1.0, -2.0, 1.0
421, 1.0, -2.0, 1.5
422, 1.0, -2.0, 2.0
423, 1.0, -2.0, 2.5
424, 1.0, -1.5, -1
425, 1.0, -1.5, -0.5
426, 1.0, -1.5, 0.0
427, 1.0, -1.5, 0.5
428, 1.0, -1.5, 1.0
429, 1.0, -1.5, 1.5
430, 1.0, -1.5, 2.0
431, 1.0, -1.5, 2.5
432, 1.5, -4, -1
433, 1.5, -4, -0.5
434, 1.5, -4, 0.0
435, 1.5, -4, 0.5
436, 1.5, -4, 1.0
437, 1.5, -4, 1.5
438, 1.5, -4, 2.0
439, 1.5, -4, 2.5
440, 1.5, -3.5, -1
441, 1.5, -3.5, -0.5
442, 1.5, -3.5, 0.0
443, 1.5, -3.5, 0.5
444, 1.5, -3.5, 1.0
445, 1.5, -3.5, 1.5
446, 1.5, -3.5, 2.0
447, 1.5, -3.5, 2.5
448, 1.5, -3.0, -1
449, 1.5, -3.0, -0.5
450, 1.5, -3.0, 0.0
451, 1.5, -3.0, 0.5
452, 1.5, -3.0, 1.0
453, 1.5, -3.0, 1.5
454, 1.5, -3.0, 2.0
455, 1.5, -3.0, 2.5
456, 1.5, -2.5, -1
457, 1.5, -2.5, -0.5
458, 1.5, -2.5, 0.0
459, 1.5, -2.5, 0.5
460, 1.5, -2.5, 1.0
461, 1.5, -2.5, 1.5
462, 1.5, -2.5, 2.0
463, 1.5, -2.5, 2.5
464, 1.5, -2.0, -1
465, 1.5, -2.0, -0.5
466, 1.5, -2.0, 0.0
467, 1.5, -2.0, 0.5
468, 1.5, -2.0, 1.0
469, 1.5, -2.0, 1.5
470, 1.5, -2.0, 2.0
471, 1.5, -2.0, 2.5
472, 1.5, -1.5, -1
473, 1.5, -1.5, -0.5
474, 1.5, -1.5, 0.0
475, 1.5, -1.5, 0.5
476, 1.5, -1.5, 1.0
477, 1.5, -1.5, 1.5
478, 1.5, -1.5, 2.0
479, 1.5, -1.5, 2.5
480, 2.0, -4, -1
481, 2.0, -4, -0.5
482, 2.0, -4, 0.0
483, 2.0, -4, 0.5
484, 2.0, -4, 1.0
485, 2.0, -4, 1.5
486, 2.0, -4, 2.0
487, 2.0, -4, 2.5
488, 2.0, -3.5, -1
489, 2.0, -3.5, -0.5
490, 2.0, -3.5, 0.0
491, 2.0, -3.5, 0.5
492, 2.0, -3.5, 1.0
493, 2.0, -3.5, 1.5
494, 2.0, -3.5, 2.0
495, 2.0, -3.5, 2.5
496, 2.0, -3.0, -1
497, 2.0, -3.0, -0.5
498, 2.0, -3.0, 0.0
499, 2.0, -3.0, 0.5
500, 2.0, -3.0, 1.0
501, 2.0, -3.0, 1.5
502, 2.0, -3.0, 2.0
503, 2.0, -3.0, 2.5
504, 2.0, -2.5, -1
505, 2.0, -2.5, -0.5
506, 2.0, -2.5, 0.0
507, 2.0, -2.5, 0.5
508, 2.0, -2.5, 1.0
509, 2.0, -2.5, 1.5
510, 2.0, -2.5, 2.0
511, 2.0, -2.5, 2.5
512, 2.0, -2.0, -1
513, 2.0, -2.0, -0.5
514, 2.0, -2.0, 0.0
515, 2.0, -2.0, 0.5
516, 2.0, -2.0, 1.0
517, 2.0, -2.0, 1.5
518, 2.0, -2.0, 2.0
519, 2.0, -2.0, 2.5
520, 2.0, -1.5, -1
521, 2.0, -1.5, -0.5
522, 2.0, -1.5, 0.0
523, 2.0, -1.5, 0.5
524, 2.0, -1.5, 1.0
525, 2.0, -1.5, 1.5
526, 2.0, -1.5, 2.0
527, 2.0, -1.5, 2.5
528, 2.5, -4, -1
529, 2.5, -4, -0.5
530, 2.5, -4, 0.0
531, 2.5, -4, 0.5
532, 2.5, -4, 1.0
533, 2.5, -4, 1.5
534, 2.5, -4, 2.0
535, 2.5, -4, 2.5
536, 2.5, -3.5, -1
537, 2.5, -3.5, -0.5
538, 2.5, -3.5, 0.0
539, 2.5, -3.5, 0.5
540, 2.5, -3.5, 1.0
541, 2.5, -3.5, 1.5
542, 2.5, -3.5, 2.0
543, 2.5, -3.5, 2.5
544, 2.5, -3.0, -1
545, 2.5, -3.0, -0.5
546, 2.5, -3.0, 0.0
547, 2.5, -3.0, 0.5
548, 2.5, -3.0, 1.0
549, 2.5, -3.0, 1.5
550, 2.5, -3.0, 2.0
551, 2.5, -3.0, 2.5
552, 2.5, -2.5, -1
553, 2.5, -2.5, -0.5
554, 2.5, -2.5, 0.0
555, 2.5, -2.5, 0.5
556, 2.5, -2.5, 1.0
557, 2.5, -2.5, 1.5
558, 2.5, -2.5, 2.0
559, 2.5, -2.5, 2.5
560, 2.5, -2.0, -1
561, 2.5, -2.0, -0.5
562, 2.5, -2.0, 0.0
563, 2.5, -2.0, 0.5
564, 2.5, -2.0, 1.0
565, 2.5, -2.0, 1.5
566, 2.5, -2.0, 2.0
567, 2.5, -2.0, 2.5
568, 2.5, -1.5, -1
569, 2.5, -1.5, -0.5
570, 2.5, -1.5, 0.0
571, 2.5, -1.5, 0.5
572, 2.5, -1.5, 1.0
573, 2.5, -1.5, 1.5
574, 2.5, -1.5, 2.0
575, 2.5, -1.5, 2.5
